name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,gender
Brendan Loughnane,,17,3,0,177.8,65.77,177.8,Switch,00:00.0,6.23,63,6.7,53,1.5,30,92,6.23,Male
Chan-Mi Jeon,,5,2,0,165.1,52.16,,Orthodox,00:00.0,6.23,31,7.77,55,0.0,0,0,6.23,Female
Julian Erosa,Juicy J,28,12,0,185.42,65.77,187.96,Southpaw,00:00.0,6.22,48,6.35,47,1.66,46,61,6.22,Male
Derrick Noble,The Eraser,27,15,1,175.26,77.11,,Southpaw,00:00.0,6.21,40,3.79,59,0.0,0,0,6.21,Male
Colin Robinson,Big C,10,12,0,193.04,110.22,,Orthodox,00:00.0,6.19,69,7.91,37,2.58,100,50,6.19,Male
Alexander Volkanovski,The Great,26,3,0,167.64,65.77,180.34,Orthodox,00:00.0,6.19,57,3.42,58,1.84,37,70,6.19,Male
Julia Polastri,The Dragon,12,3,0,157.48,52.16,160.02,Orthodox,00:00.0,6.19,52,5.11,62,0.62,100,42,6.19,Male
Chris Gruetzemacher,Gritz,15,5,0,172.72,70.31,172.72,Orthodox,00:00.0,6.18,57,4.96,52,0.21,50,65,6.18,Male
Esteban Ribovics,El Gringo,12,1,0,177.8,70.31,175.26,Orthodox,00:00.0,6.16,52,3.4,52,0.95,66,60,6.16,Male
Adrian Yanez,,16,5,0,170.18,61.23,177.8,Orthodox,00:00.0,6.15,39,5.73,57,0.0,0,100,6.15,Male
Bobby Green,King,31,14,1,177.8,70.31,180.34,Orthodox,00:00.0,6.15,52,3.66,62,1.21,37,74,6.15,Male
Khadzhi Bestaev,Best,10,4,0,198.12,83.91,193.04,,,6.15,29,10.0,43,0.0,0,0,6.15,Male
Nate Landwehr,The Train,17,5,0,175.26,65.77,182.88,Orthodox,00:00.0,6.14,46,5.58,55,1.07,41,86,6.14,Male
Alfred Khashakyan,The Fearless,8,3,0,172.72,61.23,177.8,Orthodox,00:00.0,6.14,42,6.38,40,3.54,25,0,6.14,Male
Bill Algeo,Senor Perfecto,18,7,0,182.88,65.77,185.42,Switch,00:00.0,6.11,52,4.41,47,0.89,46,56,6.11,Male
Jonathan Pearce,JSP,14,4,0,182.88,65.77,180.34,Switch,00:00.0,6.11,55,3.66,55,5.74,56,59,6.11,Male
Sabina Mazo,Colombian Queen,9,4,0,170.18,56.7,177.8,Orthodox,00:00.0,6.1,43,4.35,57,0.65,80,59,6.1,Female
Rhys McKee,Skeletor,10,5,1,187.96,77.11,198.12,Orthodox,00:00.0,6.06,48,9.47,44,0.0,0,33,6.06,Male
Chris Daukaus,,12,7,0,190.5,92.99,193.04,Orthodox,00:00.0,6.05,50,4.64,55,0.0,0,100,6.05,Male
Manon Fiorot,The Beast,11,1,0,170.18,56.7,165.1,Orthodox,00:00.0,6.05,39,3.31,69,1.36,46,91,6.05,Female
Chase Sherman,The Vanilla Gorilla,16,12,0,193.04,113.4,198.12,Orthodox,00:00.0,6.04,45,6.65,52,0.09,50,74,6.04,Male
Aliaskhab Khizriev,Black Wolf,14,0,0,175.26,83.91,187.96,Southpaw,00:00.0,6.03,64,4.36,62,5.77,60,100,6.03,Male
Mick Parkin,,7,0,0,193.04,120.2,200.66,Orthodox,00:00.0,6.02,60,3.07,67,1.77,100,33,6.02,Male
Kevin Jousset,Air,9,2,0,187.96,77.11,190.5,Orthodox,00:00.0,6.02,50,8.1,33,3.11,100,0,6.02,Male
Duda Santana,Cowboyzinha,3,1,0,170.18,65.77,185.42,Orthodox,00:00.0,6.01,39,2.72,73,6.44,60,0,6.01,Female
CJ Vergara,,12,4,1,167.64,56.7,172.72,Orthodox,00:00.0,6.01,57,5.01,53,0.0,0,74,6.01,Male
Marco Polo Reyes,,8,7,0,180.34,70.31,180.34,Orthodox,00:00.0,6.0,37,5.52,59,0.0,0,46,6.0,Male
